Word,Freq
அமைச்சின்,252
பணிகளை,26
முன்னெடுப்பதற்கு,2
கௌர,2
அமைச்சர்,106
வாசுதேவ,5
நாணாயக்கார,4
அவர்களுக்கு,34
தத்துவம்,2
வழங்கப்பட்டதுடன்,2
திருமதி,88
எம்,245
.,14524
எஸ்,140
விக்கிரமசிங்க,4
செயலாளராக,1
செயலாற்றுகிறார்,1
இவ்வமைச்சு,1
இல,122
40,30
",",5383
புத்கமுவ,2
வீதி,63
இராஜகிரிய,10
எனும்,50
முகவரியில்,18
அமையப்பெற்றுள்ளது,1
தேசிய,349
மொழிகள்,112
மற்றும்,2043
சமூக,150
ஒருமைப்பாட்டு,51
அதிகாரங்கள்,5
செயற்பாடுகள்,13
,18
ஒருமைப்பாடு,13
தொடர்பான,208
கொள்கைகள்,8
நிகழ்ச்சித்,70
திட்டங்களையும்,3
கருத்திட்டங்களையும்,1
வகுத்தமைத்தல்,2
மொழிக்,39
கொள்கையை,5
செயற்படுத்துதலுடன்,1
அலுவல்கள்,77
ஒருமைப்பாடும்,1
இனங்களுடனான,1
அலுவல்களும்,2
;,1118
இலங்கை,321
அரசகரும,68
அமுலாக்குவது,1
நிகழ்ச்சித்திட்டங்களை,5
அமுலாக்கலும்,1
கொள்கை,31
அமுலாக்கல்,2
செயற்பாடுகளை,11
மேற்பார்வை,17
தேவையான,236
ரீதியான,17
தீர்மானங்களை,6
எடுக்கும்,34
நிலையை,10
ஏற்படுத்துவதற்கு,4
சாதகமான,7
அடியை,1
முன்வைத்து,1
அமைச்சு,171
2010ம்,1
ஆண்டு,148
பிரிவு,178
தாபிக்கப்பட்டது,2
மனித,24
உரிமைகளை,1
பாதுகாப்பதற்கு,3
அமைவான,5
கொள்கைக்கு,10
அமைவாக,46
நடைமுறைப்படுத்துவதற்கு,6
சிபாரிசுகளை,5
நடைமுறைப்படுத்தல்,26
மும்மொழி,5
இலங்கைக்கான,1
பத்தாண்டு,2
திட்டத்திற்கு,8
விடயப்,4
பரப்புக்கு,1
அரச,353
உத்தியோகத்தர்கள்,62
மொழித்,11
தேர்ச்சி,19
பெற்றுக்,438
கொள்வதற்கு,43
முன்வைக்கப்பட்டுள்ள,16
உத்தியோகத்தர்,728
குழு,74
அறிக்கை,148
1.2,2
இரு,47
மொழி,119
பிரதேச,354
செயலகப்,4
பிரிவுகள்,21
ஏனைய,181
செயலாளர்,608
காரியாலயங்களில்,7
தொடர்பாக,507
மீளாய்வு,16
நிகழ்ச்சிகளை,30
நடாத்துதல்,6
நடைமுறைப்படுத்தும்,20
போது,271
ஏற்படும்,32
முரண்பாடுகளை,2
களைந்து,1
அதன்,158
முன்னேற்றுவதனை,1
நோக்கமாகக்,5
கொண்டு,116
ஆரம்பிக்கப்பட்ட,27
நிகழ்ச்சித்திட்டமாகும்,1
பிற்பாடு,1
2014.11,5
28ஆம்,2
திகதி,732
மாவனெல்ல,1
செயலகத்துக்கு,1
உட்பட்ட,13
நிறுவனங்கள்,45
7லிலும்,1
2014.12.05,1
கேகாலை,9
மாவட்டத்திற்கு,5
11லும்,1
இடம்பெற்றன,3
2014.12.11,1
ஆம்,1499
திகதியில்,58
மாத்தளை,107
உக்குவெலை,2
செயலகத்திற்கு,2
10,97
6,59
இல்,38
இடம்,50
பெற்றன,4
இதற்கேற்ப,3
2013,47
ஆண்டில்,98
சப்ரகமுவ,3
மாகாண,198
2014,62
வருடத்தில்,27
வடமேல்,9
தென்,10
மாகாணங்களை,1
முன்னிலைப்படுத்தி,1
ஒழுங்குபடுத்தியிருந்தது,1
கீழ்,660
2014.11.28,3
கூட்டுறவு,25
உள்ளக,25
வியாபார,13
உள்ள,151
பாவனையாளர்,1
சேவை,295
அதிகாரி,116
100,14
பேரை,3
தெளிவுபடுத்தும்,2
நிகழ்வு,8
இடம்பெற்றதுடன்,1
அதிகாரிகள்,22
இந்,12
நிகழ்வில்,1
கலந்து,43
கொண்டனர்,8
அமைச்சுக்கு,19
நிறுவனங்களின்,40
பணிகள்,77
சேவைகள்,136
தொடர்பாகவும்,13
அந்தந்த,18
எதிர்நோக்கும்,2
முரண்பாடுகள்,5
கலந்துரையாடப்பட்டன,1
தேசத்திற்கு,10
மகுடம்,16
கண்காட்சிக்கு,5
மாவட்ட,201
பாடசாலை,173
வாசிகசாலைகளுக்கு,1
புத்தகங்கள்,6
வழங்கப்பட்டன,11
2015ஆண்டு,1
வாசிகசாலைகளுக்கான,1
சிங்கள,40
தமிழ்,90
ஆங்கில,35
அத்துடன்,23
அகராதிகள்,2
750,5
கொள்வனவு,65
செய்யப்பட்டன,13
1.6,2
செய்தி,21
மடல்,1
ஒழுங்கமைத்தல்,2
இந்த,338
நிகழ்ச்சியின்,7
முக்கிய,22
கருப்பொருளானது,1
நோக்கம்,4
ஒருமைப்பாட்டுக்,1
பொதுமக்களை,1
விழிப்புணர்வூட்டல்,8
அதற்கேற்ப,18
ஆண்டுக்கு,6
4,121
வெளியீடுகள்,5
வெளியிடப்படவிருந்தன,1
அதில்,47
2,349
வெளியிடப்பட்டு,2
முடிவுற்றுள்ளது,1
2.2,7
செயலகங்கள்,5
உதவு,6
நிலையங்கள்,37
உருவாக்குதல்,14
நிறுவனங்களில்,20
பொது,164
மக்கள்,71
தாம்,6
விரும்பிய,4
மொழியில்,14
சேவையை,21
பெற்றுக்கொள்ளும்,11
வாய்பை,1
இலகுபடுத்துவதை,1
நோக்கமாக,6
2012,65
தொடக்கம்,26
நிலையம்,77
ஆரம்பிக்கப்பட்டது,10
இவ்விடயத்தில்,1
இன்னுமொரு,1
படி,117
மேலாக,9
காரியாலயங்கள்,2
19,15
அமைத்து,5
வெற்றிகரமாக,21
பூர்த்தி,82
செய்யப்பட்டுள்ளது,37
இலும்,4
8,57
அமைக்க,9
தீர்மாணிக்கப்பட்டது,1
வவுனியா,7
மொணராகலை,1
களுத்தறை,1
மன்னார்,1
நுவரெலியா,5
கண்டி,42
கடவத்சதர,1
இரத்தினபுரி,14
லாகுகல,1
மாத்தறை,17
முல்லைத்தீவு,8
குருநாகல்,4
போன்ற,50
மாவட்டங்கள்,2
பிரிவுகளில்,16
நிலையங்களுக்கான,1
உபகரணங்கள்,33
செய்வதற்கான,32
நிதி,280
வழங்கப்பட்டுள்ளது,11
கிளிநொச்சி,5
செயலகத்துக்கான,1
நிலையத்துக்கான,2
நிதியுதவி,15
2.3,4
இருமொழியாக்கல்,1
நடைமுறைப்படுத்தலுக்கு,2
வலுப்படுத்தும்,1
முகமாக,10
2009.11.25,1
நிர்வாக,59
சுற்றறிக்கை,32
இலக்கம்,447
18/2009,1
அரசமொழிக்,1
பொறுப்பு,21
அளிக்கப்பட்டுள்ளது,4
அனைத்து,156
நிறுவனங்களிலும்,2
பிரதான,83
மத்தியில்,17
தமது,48
நிறுவனத்தில்,9
நடைமுறைப்படுத்த,18
பூரண,12
2010.09,1
01ஆம்,5
திகதிய,242
03/2010,1
ஊடாக,116
கடித,18
தொடர்புகளின்,1
பின்பற்ற,6
வேண்டிய,194
விதிமுறைகள்,6
கொடுப்பனவுகள்,28
தகவல்,114
இதனூடாக,5
சேவையில்,84
சிறந்த,82
நிர்வாகத்துக்கான,1
திட்டம்,70
ஒழுங்கமைக்கப்பட்டுள்ளது,1
2014.01.21,1
01/2014,1
மூலம்,457
அடையப்பட,1
மொழித்தேர்ச்சி,1
அது,128
விடயங்கள்,64
உள்ளடங்கப்பட்டுள்ளதுடன்,1
சிங்களம்,25
மொழிகளை,3
அறிந்து,21
கொள்ளல்,106
வழங்குவதன்,8
முக்கியத்துவம்,13
தெளிவுபடுத்தப்பட்டது,1
பொறுப்புகள்,7
கூட்டம்,27
2014.09.01,1
அமைச்சுகளின்,2
செயலாளர்களின்,2
பங்கேற்புடன்,2
இடம்பெற்றது,4
விசேட,238
அதிதியாக,1
கௌரவ,73
கொண்டார்,2
கலந்துரையாடல்,7
செயலாளரின்,51
தலைமையில்,17
3,195
செயற்பாட்டு,14
நிகழ்ச்சி,126
3.1,2
மொழிச்சங்கங்கள்,4
மொழிகளால்,1
இதயபூர்வமாக,1
இணைந்த,61
சமாதானம்,4
மிக்க,7
ஒரே,45
தேசத்தை,1
கட்டியெழுப்புவதை,1
அரசகருமமொழிக்,1
நடைமுறைப்படுத்துவதன்,2
முக்கியத்துவத்தை,1
பொதுமக்கள்,20
செல்வதற்கான,21
நிகழ்ச்சியாக,1
மொழிச்சங்க,13
திட்டத்தை,20
குறிப்பிடலாம்,3
இந்நிகழ்ச்சி,1
இருந்து,83
ஆரம்பிக்கப்பட்டுள்ளதுடன்,1
இதுவரை,33
2428,1
பூராவும்,2
ஏற்படுத்தப்பட்டுள்ளன,2
அதற்கு,96
சமமாக,4
மொழிகளில்,7
கற்பதற்கான,2
வாய்ப்பினை,4
முன்னேற்றுவதுடன்,1
இருமொழிகளை,1
மேம்படுத்துவதை,1
206,1
வகுப்புகள்,6
25,47
உள்ளடங்கும்,5
விதமாக,5
ஏற்படுத்தப்பட்டுள்ளது,4
பிரதேசத்தில்,20
பெற்றுக்கொண்ட,21
புரிந்துணர்வானது,1
ஒருமைப்பாட்டை,3
ஏற்படுத்துவதற்கான,1
வாய்ப்பாக,1
அமைந்தது,2
கல்வி,406
பயிற்சி,136
நிறுவனம்,100
அமைச்சுகளை,1
பிரதிநிதித்துவப்படுத்தி,1
கலந்துக்கொண்டனர்,1
மொழிச்சங்கங்களில்,1
ஆரம்பம்,5
எதிர்கால,28
நடவடிக்கைகள்,133
கலந்துரையாடப்பட்டது,4
செயற்பாடு,10
நிகழ்ச்சிகள்,76
மாநாடுகள்,3
2014.05,5
10ஆம்,16
குருவிட,1
27ஆம்,1
ஓபநாயக,1
கொடகவெல,1
30ஆம்,6
பலாங்கொடை,1
ஆகிய,81
செயலக,19
2014.07.11,2
தனமல்வில,4
காரியாலயத்தில்,31
மாநாடு,9
புத்தள,3
வல்லவாய,1
பிரதேசங்களின்,2
உறுப்பினர்கள்,16
கலந்துகொண்டனர்,3
மாவட்டங்களின்,5
ஆசிரியர்கள்,38
35,30
பேர்,16
2014.10.14,1
எம்பிலிபிடிய,1
பெற்றது,8
70,13
நடவடிக்கை,261
செயலமர்வு,15
மூலமாக,25
கொள்ளப்பட்ட,20
விடயங்களும்,3
செய்யப்பட்டு,20
மத்திய,136
நிலையத்தில்,18
முகாமைத்துவ,90
ஒழுங்கமைப்பதற்கு,1
உபயோகிக்கப்படவுள்ளது,1
3.3,2
மேம்படுத்துவதற்கு,3
மொழிச்சங்கள்,1
முன்வைக்கப்படும்,2
நிகழ்சித்திட்டங்களுக்கு,1
வழங்குதல்,85
நோக்கங்களை,3
பூராகவும்,5
நிகழ்ச்சித்திட்டம்,18
முன்னெடுக்கப்படுகின்றது,1
இரண்டாம்,111
கட்ட,6
15,60
செயற்பாட்டுத்திட்டங்களுக்கான,1
வழங்கப்பட்டது,12
யூலை,12
மாதம்,208
26க்கான,1
பதுளை,11
குருநாகல,1
சீதாவாக்க,1
களனி,1
திட்டங்களுக்காக,1
பேராசிரியர்,5
ரஜீவ,1
விஜேசிங்க,6
அவர்களால்,25
எழுதப்பட்ட,4
கவிதைகள்,1
அனுபவிக்கும்,1
வேலைத்திட்டங்ளுக்கான,1
சிறுகதை,1
தெரிவு,92
அனுப்பப்பட்டுள்ளது,7
ஹெஜ்ஜி,1
மாலய,1
சிறுவர்,95
நாவலின்,4
பெயர்ப்பு,8
கிட்டியும்,1
கழுத்து,1
மணிமாலையும்,1
என,89
1000,9
பிரதிகளும்,1
கோழி,2
அம்மாவும்,1
மயில்,1
குஞ்சுகளும்,1
கிகிலி,1
அம்மா,1
சஹ,2
மொணரா,1
பெடவ்,1
பிரதிகள்,50
பதிப்பிக்கப்பட்டது,1
ஆண்,7
பெண்,25
பால்,11
நிலை,59
சமத்துவம்,1
விழிப்புணர்வூட்டும்,5
மேம்பாட்டு,12
உதவியாளர்,54
இணைப்பாளர்,2
உதவுனர்களுக்கு,1
அறிவூட்டும்,18
02,220
செயலமர்வுகள்,6
2014.09.18,1
திகதிகளில்,14
73,3
உத்தியோகத்தர்களுக்கு,46
அழைப்பு,13
விடுக்கப்பட்ட,2
போதும்,13
43,2
மட்டுமே,18
திணைக்களம்,125
ஆணைக்குழு,38
பிரிவுகளையும்,1
பிரதிநிதித்துவப்படுத்தும்,3
கைநூல்,2
ஒழுங்கமைவதற்கு,1
வழிகாட்டலில்,1
வழங்கப்பட்ட,77
செயற்படுத்தப்படும்,2
நிகழ்ச்சிகளுக்கு,9
உள்வாங்கப்படுவர்,1
வழிகாட்டிக்,2
கைநூலின்,1
3000,2
பதிப்பிக்கப்பட்டுள்ளது,1
கைநூலில்,2
முறைமைகள்,2
அடிப்படை,44
படிமுறைகள்,1
04,94
தெளிவுபடுத்தப்பட்டுள்ளது,1
அவசியமான,6
முறையான,27
திட்டங்கள்,32
உள்வாங்கப்படுவதன்,1
மக்களுக்கு,22
சமமான,23
வழங்குவதற்கான,11
வழங்குவதுடன்,3
மக்களின்,13
நிதியானது,1
வகையில்,100
பாவிப்பதற்கான,1
வாய்ப்பு,13
ஏற்படுகின்றது,3
2015,59
வழித்தட,2
தேர்ந்தெடுக்கப்பட்ட,7
அமைச்சுகள்,3
06,70
மொழித்திட்டம்,2
ஒழுங்கமைக்கும்,3
இவ்,30
முன்னெடுக்கப்படவுள்ளது,1
அந்த,185
அமைச்சுகளுக்கிடையில்,1
உள்நாட்டளுவல்கள்,1
தொலைத்தொடர்பு,1
தொழில்நுட்ப,47
சுகாதார,86
நீதி,33
இளைஞர்,37
விவகார,22
திறன்,8
அபிவிருத்தி,320
வகிக்கின்றது,1
நிறுவனங்களான,5
மொழிக்கல்வி,2
ஐந்தாண்டு,2
செயற்திட்டத்தை,1
ஒழுங்கமைத்து,1
முடித்துள்ளது,1
இச்,29
திட்டத்துக்கு,3
ஏற்ப,96
வருடம்,23
பெறுவதுடன்,1
செயற்படுத்தல்,9
2016,99
எதிர்காலத்தில்,36
செயற்படுத்த,4
எதிர்பார்க்கப்படுகின்றது,4
2012ஆம்,4
2013ஆம்,1
வரை,188
இலங்கையில்,63
பல்வேறுபட்ட,2
பிரதிநிதிப்படுத்துவதன்,1
புதிய,178
புத்தாக்க,8
மாதிரிகள்,1
14,67
இது,105
4.5,3
ஸ்தாபித்தல்,6
நிறுவனங்களினது,1
சேவைகளை,17
மட்டத்தில்,45
விரிவு,1
படுத்துவதை,1
கொண்ட,166
நிகழ்ச்சித்திட்டமாக,1
இம்,4
அமைக்கப்பட்டுள்ளதை,1
அதற்கமைவாக,2
வடமாகாண,3
கிளிநொச்சியிலும,1
சபரகமுவ,2
குருவிட்டவிலும்,1
பயிற்சிக்காக,3
தனியார்,52
செய்யப்பட்ட,171
31,19
நிறைவின்,1
